29236,60929,22649
23324,41787,23887
17774,52222,2947
99391,51442,81759
27698,36135,1248
25179,74700,99077
22359,63229,97582
12701,23906,8607
32425,92327,71859
63369,66221,54998
62230,75624,44397
81401,59250,29692
2011,28286,19842
72514,98365,30692
71709,75164,11254
51016,91446,2712
913,19597,50313
58508,88466,13087
88152,34002,45619
52716,15002,25661
56002,96653,70321
33581,60694,97566
31777,78032,26127
98264,19761,20850
89365,21653,96346
57501,19176,54290
84321,16250,39647
30561,5049,15527
62554,52987,44873
55879,64013,66600
46068,64344,77050
75991,87138,36336
94091,13583,71803
91867,29315,49640
9020,51917,60599
67491,6695,58781
92349,2234,57819
87239,74635,75064
3915,86208,9443
17234,71142,32306
32776,12726,89009
85424,1254,44304
90301,94201,35545
76851,18936,77280
90582,80260,25685
89847,76461,82992
40880,98309,44881
60179,79802,17608
67191,26488,56828
92933,52638,5275
75651,22071,13235
39782,87069,46750
56554,58630,95524
85938,44160,92832
78646,24585,63741
2460,8565,5713
32542,22110,23219
38786,41192,91311
54112,33759,6584
41019,32884,88207
83392,54445,52295
98309,72811,79958
72227,76369,8145
17626,33339,45129
17298,27764,60174
38495,96583,69643
12706,79779,46534
97968,36206,81423
43812,52102,90451
27837,62375,23063
32056,67850,27733
82372,20072,71896
39407,87881,2230
56915,35359,29071
74645,68830,87638
49259,44511,46831
8271,47021,36215
98536,38599,53253
85081,52089,81871
44392,48108,46256
88709,53535,11964
87699,96694,98533
99325,74599,70238
54955,15192,25994
54270,59014,55097
98480,97192,54805
32464,37718,74918
76475,8406,36483
51178,30985,4978
28450,90308,74108
3495,75493,30552
31058,19731,33822
69761,34941,74305
52008,85133,49083
51784,42595,35996
12569,48303,23079
98272,38146,22796
75320,73383,85577
89281,72685,58263
95695,60635,58145
69764,66623,91521
75147,81882,76037
78908,96255,61508
45979,92061,16216
14272,29782,94989
69519,70701,96335
37870,54623,31408
43559,70443,44078
33260,90735,30338
92100,14116,54985
88709,17964,17196
88754,70800,8266
45845,47632,81485
96252,21440,27375
47663,8280,10385
88690,77447,21817
27304,12479,38263
25826,30224,58021
74812,71465,47073
44492,46697,21660
91444,31473,32647
64049,77180,27408
62668,18933,46845
23617,34972,17047
17047,4311,5748
20439,75407,65464
6369,31242,58888
34435,14503,60081
3265,91263,48154
79265,88680,76953
50574,51120,59028
35142,20140,23107
63930,74857,14052
7132,44606,93138
14568,88132,50047
38680,8397,28096
51580,89065,56031
76728,3817,14263
50683,63705,42776
93722,14018,13354
89871,81366,96064
88690,48803,86070
33164,74637,4008
70664,34145,50861
171,12350,70397
73064,55846,5483
19342,81573,27007
94437,77853,30875
32549,71639,17323
90446,10436,62373
85779,2005,25175
93835,85262,1406
62389,37554,20589
74181,49742,50247
54927,25525,43869
72950,39835,10761
36192,88355,54498
7629,5667,64575
78050,72448,90160
14490,87541,28248
50042,84464,75254
92713,54866,17172
85710,90281,67082
49618,3373,67579
13356,50076,65503
70586,95221,33608
14902,60343,75033
44255,48821,70734
91875,47982,12857
14901,84567,41261
52064,58291,77152
69130,81381,17527
76177,38895,9171
50231,31293,62928
22328,46251,71782
19523,70273,53488
84811,64272,14740
99466,87586,87268
9502,44131,39206
1525,51343,909
70449,74840,83056
36293,95673,16906
8990,36894,32718
93370,1734,64741
49438,23078,78467
93482,92200,89344
20928,80833,28102
53382,13170,26187
52597,41574,5479
40634,13852,8666
55795,12917,78885
78103,96788,46076
91411,77125,67640
12039,32083,18082
95243,85322,6291
5280,15938,71738
28264,46806,72278
6840,1208,27959
71318,14331,77813
13536,43286,53217
22455,23104,29682
49707,42678,1115
65119,75399,52565
43213,552,55833
21684,54053,70060
45719,30776,89438
97510,984,37031
67447,11908,89052
68621,36595,25337
72387,48657,32947
79225,55360,54380
87787,83197,18981
67398,9962,25819
64059,67181,35867
93593,12202,72764
40407,79148,60886
89222,35620,22676
78022,66609,53492
13655,41328,12889
45330,79180,55912
10097,13403,17871
11152,88445,79330
66384,95952,98116
47231,41714,74252
47560,24130,14370
14031,22635,53064
83488,60737,68074
9906,38295,86850
64489,28890,64919
34081,16246,96416
52481,83448,31732
81824,46893,45171
14101,27815,19826
97964,31851,74128
58660,33208,31611
34351,31372,69600
25095,37579,48828
8648,96044,10646
91838,50032,56594
41007,17807,91794
44197,79984,33492
5967,6070,27120
58222,22130,17069
61986,92929,25113
25707,44233,12347
98080,11163,97040
63212,27525,59075
86128,53744,54732
55728,45092,77208
71077,47020,18957
14092,37805,81058
68583,87109,79810
30012,17980,5531
86274,79427,29832
79780,16894,50729
58899,33925,93111
37234,81618,7939
70215,45467,8625
59052,73884,34667
6435,23124,17852
88491,38562,34014
36336,67445,64624
67973,93171,19545
39824,48051,10565
44156,44562,22572
74862,41453,54292
4470,69058,52242
69040,2424,85857
22164,47984,88528
38584,65869,1213
74099,96984,73511
43970,18896,81818
89715,10712,88647
96068,7627,883
30711,5611,94128
5973,32619,1304
91157,70073,8264
34885,99179,12331
61831,68897,27308
89524,70967,76464
7782,77134,13993
69311,96216,75901
17600,85459,71370
12863,92876,83849
75284,57417,50613
38376,95561,47199
78949,3930,42822
49713,34910,11721
57736,34997,49165
99054,40731,14511
93569,62654,13709
1272,82134,56314
34940,56541,6806
9085,16402,26618
83924,84201,65912
8086,59826,10646
55915,56867,94468
16580,25791,22460
80283,59084,57376
17333,24893,48839
33606,47838,16650
96876,40696,38654
32036,87589,5471
81066,35114,96246
54596,56045,57983
97687,32770,7445
54513,47268,46245
26628,49704,85946
88132,16936,96291
23372,17366,20621
26650,69594,76299
49856,99677,15320
47859,81255,82669
39328,35019,65824
40987,50594,38791
15631,92667,41787
69687,48597,390
44149,38015,74085
44135,74310,74710
56381,39480,58615
63760,99216,29017
6048,54425,2334
88649,87270,34167
77357,12336,13809
6887,3140,94504
11512,44084,5065
40585,48462,74970
64973,44501,26023
4352,91113,65089
28294,952,85539
68461,69496,73336
50530,33383,89381
43104,38565,14786
46511,65676,11326
45103,9908,25838
72771,12964,77024
18999,46911,77983
65231,98514,1262
63339,63982,35762
67570,64223,63631
72319,79177,40162
26642,94482,52893
37880,58818,89425
67616,54552,7490
42228,83751,79828
34631,54172,60004
293,23964,38595
37177,58477,9764
22113,3472,97276
2778,20297,40392
1586,15950,99491
82249,54917,4169
95043,41318,37400
61719,53112,42711
1013,16244,53584
42009,11752,5650
68508,30385,60300
75405,9544,58766
21851,27987,22976
78141,21337,47882
38172,18088,7245
7574,59236,31707
374,89501,87114
71152,3687,82204
55385,23760,96517
86104,75026,11180
96670,94860,87257
11097,33752,65365
77144,7821,7945
