347900056584643, 153201918251905, 326681281476465 @ -106, 347, -121
325628115576998, 398874388363326, 423548869355240 @ -90, -181, -117
236283203928677, 183693864501509, 231547719652563 @ 54, 152, 151
355713457719749, 357597664794870, 179968714544823 @ -27, 37, -94
216857748212515, 210953678635117, 323110314838889 @ 7, 25, 102
332854589117000, 344315597567407, 213825211775893 @ -24, -32, 28
288918683550591, 331655627557809, 253458369429141 @ 50, -34, 5
341032009831103, 287230285088507, 180525755374753 @ 141, 795, -144
181152535714637, 293942503001609, 362607603264666 @ 81, -46, 17
312394158903371, 463339352935640, 165287424875031 @ -81, -259, 262
339607445004095, 428935665213317, 406766717246853 @ -110, -225, -95
3685916972321, 136263397856765, 34098559867509 @ 253, 118, 412
344219706564863, 310698466448333, 142449513275229 @ 30, 341, 267
303270031204062, 326980748188068, 155124886250239 @ -50, -71, 270
365350713030185, 277499249766695, 536920252631253 @ -148, -17, -234
134756520179739, 312570645913177, 301117417845089 @ 190, -55, 58
331272351657180, 207639125259242, 221006968634983 @ -20, 447, 6
312417686588963, 329350006806479, 246278458592223 @ 39, 13, -69
258258010580699, 178575404340569, 449832405873969 @ -12, 103, -100
323327806586581, 285574132434808, 205810948292050 @ -19, 119, 99
363872316294027, 373764226018189, 197878545271533 @ -67, -89, -679
211276317191927, 180961269159539, 14198849287275 @ 153, 231, 537
297652378180571, 372012209520145, 300161998443105 @ 30, -136, -118
300558929907191, 325475099479865, 107381789249739 @ 21, -18, 375
303702699648257, 148969569768905, 337208986624113 @ -74, 126, 56
283984823720553, 309871927743463, 221166364406597 @ 158, 97, -6
328656343463230, 333789620963042, 205495424321688 @ -28, -15, 89
411808005027426, 422902969036467, 363808820913097 @ -200, -200, 48
48160277088605, 114794394757397, 193807246873953 @ 172, 116, 240
222390116618115, 331629103827367, 23880856368608 @ 7, -100, 421
327572170493015, 323161019014757, 189627930052113 @ -88, -65, 216
303010130103467, 523054514794487, 328933944430077 @ -69, -335, 54
347568475278748, 356843071472975, 190637778890097 @ -34, -36, 8
369109345096355, 175171860397457, 437751027896078 @ -153, 90, -59
227284865975615, 289587636229457, 348245680485933 @ 60, -18, -19
317125659502597, 316667758824685, 256694576523796 @ -47, -26, 55
284073743865035, 481647474235184, 288026185782304 @ -33, -297, 85
373796806613100, 304354463065595, 207879684065059 @ -158, -72, 222
236378061974411, 271678564586137, 478028028559597 @ -15, -40, -57
205428459184515, 124517493590337, 95353020058657 @ 67, 190, 354
309829738656145, 323671219958011, 244296551264377 @ -88, -91, 180
293788632994985, 152402852447429, 213825965718603 @ 17, 358, 126
272478218544043, 298922623155513, 398505550959425 @ -14, -37, -78
267836643892355, 277218888534857, 252690224224743 @ 247, 246, -155
285288171569665, 366492592410212, 302892409465693 @ 53, -123, -108
367132670104805, 371746505251322, 325301040318708 @ -143, -121, -649
234321018338491, 228334382823145, 462316263461569 @ 16, 37, -110
79247241727426, 259883561004191, 367506630656031 @ 128, -36, 74
326718741062115, 257592935692482, 353770039728608 @ -89, 31, -29
356487187671855, 364759611783667, 168701337917383 @ -23, -19, -15
286332094004931, 91598665658497, 481561490099217 @ -56, 185, -106
346869233969045, 374184031448697, 199789115390265 @ -18, -130, -76
364242531231533, 199029021016677, 418347050844498 @ -147, 70, -49
295361161250529, 298227083071601, 264537597652264 @ -19, -6, 67
266356904969037, 289852416323825, 38360743442385 @ 44, 18, 488
311050585827375, 318410385905333, 292487180374093 @ -38, -33, -9
332097471478156, 357481926269591, 164641600390274 @ 58, -36, 147
265779024752585, 304352789868149, 303833766167265 @ 42, -12, -16
259860010363813, 76200961658221, 295400773982029 @ 74, 476, -30
287565699864105, 197756668634938, 257232801075389 @ 97, 401, -68
333389958152819, 220875809784555, 145119954903073 @ 63, 797, 256
353957567858645, 362327085489107, 182419726628223 @ -35, -32, -46
316548339130947, 352233025215873, 208034773319505 @ -26, -89, 128
301767765820365, 358154757369359, 486339150051477 @ -38, -117, -298
323913149881139, 332768648105313, 208000478518049 @ 33, 34, 10
338838641591333, 356359767258197, 518648972052393 @ -110, -120, -244
370189727466410, 310135028326722, 249784637732898 @ -156, 37, -13
169986572726243, 147243157173875, 245326324211616 @ 39, 72, 193
370033035676479, 273101827172805, 330632894283025 @ -154, -37, 88
202637521361687, 121948038640269, 402256908505493 @ 90, 223, -89
362698065906221, 454414213008425, 203850983824368 @ -127, -462, 31
281851408257955, 384592281490817, 234773520890033 @ 31, -165, 93
353575926871247, 546867090038709, 372246213576001 @ -132, -379, -20
330071440318520, 285233739585118, 268053263546641 @ -18, 169, -152
200296626140705, 325709628913751, 427362572719123 @ 72, -81, -89
265806347076377, 288060676268664, 295681320497092 @ 33, 11, 13
344957954231171, 310650866412359, 170478401751255 @ 23, 337, 63
294677054256791, 325572133588700, 439172533719156 @ -77, -97, -11
208420866318636, 289983565381881, 398467242844014 @ 38, -46, -13
354303052544505, 377478862726817, 121329954257087 @ -103, -150, 354
